run_id,timestamp,num_control,num_target,opt_level,resilience_level,dd_enable,shots,backend,depth_2q,count_2q,total_depth,ideal_success_prob,noisy_success_prob,tvd_noisy_vs_ideal,hw_success_prob,tvd_hw_vs_ideal,tvd_hw_vs_noisy,job_id
run-0001,2026-03-01T12:34:32.454569Z,4,4,0,0,False,1024,ibm_marrakesh,218,249,1018,1.0,0.946289,0.056737,0.396484,0.603516,0.549805,d6i34mm33pjc73dka450
run-0002,2026-03-01T12:35:47.624660Z,4,4,0,0,True,1024,ibm_marrakesh,218,249,1018,1.0,0.946289,0.056737,0.700195,0.299805,0.246094,d6i3594mmeis739pqmig
run-0003,2026-03-01T12:36:00.768683Z,4,4,0,1,False,1024,ibm_marrakesh,218,249,1018,1.0,0.946289,0.056737,0.386719,0.613281,0.55957,d6i35c860irc7392rk1g
run-0004,2026-03-01T12:36:10.343980Z,4,4,0,1,True,1024,ibm_marrakesh,218,249,1018,1.0,0.946289,0.056737,0.658203,0.341797,0.288086,d6i35f633pjc73dka530
run-0005,2026-03-01T12:36:24.751964Z,4,4,1,0,False,1024,ibm_marrakesh,188,198,668,1.0,0.946289,0.056737,0.779297,0.220703,0.166992,d6i35im33pjc73dka56g
run-0006,2026-03-01T12:36:34.717533Z,4,4,1,0,True,1024,ibm_marrakesh,188,198,668,1.0,0.946289,0.056737,0.695312,0.304688,0.250977,d6i35ku33pjc73dka590
run-0007,2026-03-01T12:36:48.073863Z,4,4,1,1,False,1024,ibm_marrakesh,188,198,668,1.0,0.946289,0.056737,0.754883,0.245117,0.191406,d6i35o860irc7392rkeg
run-0008,2026-03-01T12:37:00.031582Z,4,4,1,1,True,1024,ibm_marrakesh,188,198,668,1.0,0.946289,0.056737,0.678711,0.321289,0.267578,d6i35rkgmsgc73btdamg
run-0009,2026-03-01T12:37:14.192345Z,4,4,2,0,False,1024,ibm_marrakesh,155,164,547,1.0,0.946289,0.056737,0.883789,0.154817,0.126953,d6i35usmmeis739pqnb0
run-0010,2026-03-01T12:37:23.024460Z,4,4,2,0,True,1024,ibm_marrakesh,155,164,547,1.0,0.946289,0.056737,0.793945,0.206055,0.177734,d6i3614gmsgc73btdau0
